Person_ID,ProjectEnrollment_ID,Client_Age_at_Entry,LastPermanentZip,ProjectEnrollmentDate,Destination,Start_Date,Exit_Date,Project_Name,HousingStatus_atProjectStart,LivingSituationBeforeProgram,ProjectStayHousehold_ID
173848,446668,48,93955,3/26/15,,3/26/15,,MOSBE Franciscan Workers - House of Peace(3207),Category 1 - Homeless (HUD),Hospital or other residential non-psychiatric medical facility (HUD),446668
173848,446669,48,93955,3/26/15,,3/26/15,,MOSBE Franciscan Workers - House of Peace(3207),Category 1 - Homeless (HUD),Hospital or other residential non-psychiatric medical facility (HUD),446669
173960,130924,32,93905,1/27/11,"Rental by client, no ongoing housing subsidy (HUD)",1/27/09,1/27/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",130924
173961,130925,12,,1/27/11,"Rental by client, no ongoing housing subsidy (HUD)",1/27/09,1/27/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),130924
173962,130926,4,,1/27/11,"Rental by client, no ongoing housing subsidy (HUD)",1/27/09,1/27/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),130924
173982,136857,19,93901,6/11/12,"Staying or living with friends, temporary tenure (e.g., room apartment or house)(HUD)",12/7/10,9/12/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",136857
173982,174152,20,93933,3/27/13,"Staying or living with family, permanent tenure (HUD)",12/22/11,10/5/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",174152
174006,140788,39,93940,6/12/15,"Rental by client, no ongoing housing subsidy (HUD)",9/12/11,10/1/13,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",140788
174091,319538,27,93905,3/2/15,"Rental by client, no ongoing housing subsidy (HUD)",5/6/14,2/16/15,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),319538
174133,233563,32,95815,12/26/14,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",4/12/13,7/18/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),Safe Haven (HUD),232064
174134,233566,15,95815,12/26/14,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",4/12/13,7/18/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),Safe Haven (HUD),232064
174135,233565,9,95815,12/26/14,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",4/12/13,7/18/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),At-risk of homelessness (HUD),Safe Haven (HUD),232064
174226,220121,40,93933,10/17/13,"Rental by client, with VASH subsidy (HUD)",12/3/12,9/6/13,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",220121
174263,137912,40,93933,4/10/13,Permanent housing for formerly homeless persons (HUD),2/2/11,7/11/12,MOSBE Interim - Shelter Cove(2118),Stably housed (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",137912
174274,227731,37,93940,1/28/14,"Jail, prison or juvenile detention facility (HUD)",10/31/13,1/10/14,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",227731
174362,144389,45,93906,12/3/13,"Rental by client, no ongoing housing subsidy (HUD)",11/8/11,11/17/13,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),144389
174383,205517,69,34601,5/21/13,Other (HUD),2/15/13,5/18/13,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),205517
174487,139527,58,,7/23/12,Hospital or other residential non-psychiatric medical facility (HUD),2/24/11,7/23/12,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),Other (HUD),139527
174487,180973,59,93940,9/19/12,Hospital or other residential non-psychiatric medical facility (HUD),7/23/12,9/19/12,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),Other (HUD),180973
174487,202400,59,93940,2/15/13,"Rental by client, with VASH subsidy (HUD)",10/12/12,2/15/13,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),Other (HUD),202400
174522,140711,48,93940,7/19/13,"Rental by client, with other ongoing housing subsidy (HUD)",9/12/11,12/7/12,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),140711
174598,226114,36,93940,5/26/14,Transitional housing for homeless persons (including homeless youth) (HUD),8/2/13,4/13/14,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",226114
174598,312007,36,93933,4/17/14,,4/14/14,,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),312007
174640,241407,28,93905,6/24/15,"Rental by client, with other ongoing housing subsidy (HUD)",7/16/13,4/27/15,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",241394
174641,241409,11,93960,6/24/15,"Rental by client, with other ongoing housing subsidy (HUD)",11/27/13,4/27/15,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Foster care home or foster care group home (HUD),241394
174642,241394,10,93960,6/24/15,"Rental by client, with other ongoing housing subsidy (HUD)",1/16/14,4/27/15,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Foster care home or foster care group home (HUD),241394
174643,140042,59,93901,7/19/13,"Rental by client, with other ongoing housing subsidy (HUD)",7/8/11,1/25/13,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),140042
174695,376696,56,93907,10/27/14,,6/26/14,,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",376696
174722,131142,38,93905,9/28/11,"Rental by client, no ongoing housing subsidy (HUD)",9/17/09,7/31/11,MOSBE The Salvation Army - Casa de las Palmas(2088),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),131142
174739,139635,50,93901,5/23/12,Permanent housing for formerly homeless persons (HUD),5/31/11,7/29/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),139635
174739,191617,51,93906,6/12/15,Permanent housing for formerly homeless persons (HUD),12/20/12,5/14/13,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),191617
174769,210176,50,93933,5/26/14,Transitional housing for homeless persons (including homeless youth) (HUD),3/26/13,4/13/14,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",210176
174769,312010,51,93933,11/20/14,Permanent housing for formerly homeless persons (HUD),4/14/14,11/20/14,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",312010
174840,227733,8,93940,1/28/14,"Staying or living with family, permanent tenure (HUD)",10/31/13,1/10/14,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",227731
175097,201085,20,93960,10/21/14,"Staying or living with family, permanent tenure (HUD)",2/7/13,7/31/14,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),201085
175109,174145,19,93906,1/22/13,"Staying or living with family, permanent tenure (HUD)",6/28/12,11/30/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",174143
175127,467387,49,93901,5/27/15,,5/27/15,,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",467387
175135,136768,36,93901,5/24/12,Transitional housing for homeless persons (including homeless youth) (HUD),11/24/10,6/6/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),136768
175145,153319,36,93955,4/10/13,Hotel or motel paid for without emergency shelter voucher (HUD),3/12/12,8/16/12,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),153319
175159,140401,27,93933,9/9/11,Client doesn't know (HUD),8/15/11,8/26/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",140401
175159,172031,28,93955,3/11/13,"Staying or living with family, permanent tenure (HUD)",5/2/12,1/23/13,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),172031
175160,206621,57,90037,11/4/13,"Rental by client, no ongoing housing subsidy (HUD)",9/28/12,11/4/13,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),206621
175174,138270,56,93933,7/9/12,Permanent housing for formerly homeless persons (HUD),3/1/11,6/26/12,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",138270
175175,138464,76,93901,7/7/11,"Rental by client, with VASH subsidy (HUD)",3/10/10,7/6/11,MOSBE Veterans Transition Center GPD(2862),Stably housed (HUD),Place not meant for habitation (HUD),138464
175196,140790,49,93955,5/20/13,"Staying or living with friends, permanent tenure (HUD)",9/1/11,10/6/12,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",140790
175200,140704,25,93955,9/16/11,Client doesn't know (HUD),8/25/11,9/12/11,zzz*inactive* MOSBE CHS-Genesis House(2090),,"Jail, prison or juvenile detention facility (HUD)",140704
175218,136059,20,93901,11/30/12,"Rental by client, no ongoing housing subsidy (HUD)",9/30/10,3/2/12,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),At-risk of homelessness (HUD),"Staying or living in a family member's room, apartment or house (HUD)",136059
175223,423766,51,93901,2/11/15,,2/11/15,,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",423766
175296,132305,25,93940,7/11/12,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",1/20/10,10/22/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),132305
175299,137961,52,93940,2/8/11,"Rental by client, with VASH subsidy (HUD)",11/4/09,12/3/10,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),137961
175391,184907,17,93901,4/20/15,"Staying or living with friends, permanent tenure (HUD)",10/30/12,10/30/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",184906
175463,184906,60,93955,3/26/15,"Staying or living with friends, permanent tenure (HUD)",10/30/12,10/30/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",184906
175521,135353,28,93901,4/15/11,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",9/30/10,4/11/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Rental by client, with other ongoing housing subsidy (HUD)",135353
